dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
mpdd,bracket_brown,2,2,loio_conformal,1,26.044111251831055
mpdd,bracket_brown,2,3,loio_conformal,0,25.063234329223633
mpdd,bracket_brown,2,3,loio_conformal,1,30.024017333984375
mpdd,bracket_brown,2,4,loio_conformal,0,18.962385177612305
mpdd,bracket_brown,2,4,loio_conformal,1,17.98746109008789
mpdd,bracket_brown,4,0,loio_conformal,0,20.168140411376953
mpdd,bracket_brown,4,0,loio_conformal,1,16.527320861816406
mpdd,bracket_brown,4,0,loio_conformal,2,22.03658676147461
mpdd,bracket_brown,4,0,loio_conformal,3,20.420024871826172
mpdd,bracket_brown,4,1,loio_conformal,0,16.533672332763672
mpdd,bracket_brown,4,1,loio_conformal,1,18.832754135131836
mpdd,bracket_brown,4,1,loio_conformal,2,16.502485275268555
mpdd,bracket_brown,4,1,loio_conformal,3,19.016658782958984
mpdd,bracket_brown,4,2,loio_conformal,0,20.02211570739746
mpdd,bracket_brown,4,2,loio_conformal,1,21.893484115600586
mpdd,bracket_brown,4,2,loio_conformal,2,18.506389617919922
mpdd,bracket_brown,4,2,loio_conformal,3,20.565011978149414
mpdd,bracket_brown,4,3,loio_conformal,0,18.58683967590332
mpdd,bracket_brown,4,3,loio_conformal,1,26.318758010864258
mpdd,bracket_brown,4,3,loio_conformal,2,20.20989990234375
mpdd,bracket_brown,4,3,loio_conformal,3,17.588319778442383
mpdd,bracket_brown,4,4,loio_conformal,0,18.409454345703125
mpdd,bracket_brown,4,4,loio_conformal,1,22.827268600463867
mpdd,bracket_brown,4,4,loio_conformal,2,18.59134864807129
mpdd,bracket_brown,4,4,loio_conformal,3,22.023378372192383
mpdd,bracket_brown,8,0,loio_conformal,0,20.1647891998291
mpdd,bracket_brown,8,0,loio_conformal,1,16.430391311645508
mpdd,bracket_brown,8,0,loio_conformal,2,20.390539169311523
mpdd,bracket_brown,8,0,loio_conformal,3,23.961252212524414
mpdd,bracket_brown,8,0,loio_conformal,4,18.900659561157227
mpdd,bracket_brown,8,0,loio_conformal,5,17.40607452392578
mpdd,bracket_brown,8,0,loio_conformal,6,17.85383415222168
mpdd,bracket_brown,8,0,loio_conformal,7,19.350656509399414
mpdd,bracket_brown,8,1,loio_conformal,0,17.330915451049805
mpdd,bracket_brown,8,1,loio_conformal,1,18.49287223815918
mpdd,bracket_brown,8,1,loio_conformal,2,16.95647621154785
mpdd,bracket_brown,8,1,loio_conformal,3,15.818563461303711
mpdd,bracket_brown,8,1,loio_conformal,4,17.600847244262695
mpdd,bracket_brown,8,1,loio_conformal,5,18.95462417602539
mpdd,bracket_brown,8,1,loio_conformal,6,24.15171241760254
mpdd,bracket_brown,8,1,loio_conformal,7,17.302888870239258
mpdd,bracket_brown,8,2,loio_conformal,0,17.07619285583496
mpdd,bracket_brown,8,2,loio_conformal,1,22.583755493164062
mpdd,bracket_brown,8,2,loio_conformal,2,20.936994552612305
mpdd,bracket_brown,8,2,loio_conformal,3,18.3516845703125
mpdd,bracket_brown,8,2,loio_conformal,4,18.718595504760742
