dataset,k_shot,corruption,pvalue_col,n_normal,n_clusters,ks_discrete,mc_pvalue,worst_grid_point,worst_empirical_cdf,direction
mvtec,4,blur,image_p_loio,2335,15,0.11477516059957171,0.10144927536231885,0.4,0.5147751605995717,anti-conservative
mvtec,4,brightness_contrast,image_p_loio,2335,15,0.11177730192719482,0.09645177411294353,0.4,0.5117773019271948,anti-conservative
mvtec,4,clean,image_p_loio,2335,15,0.10706638115631695,0.13143428285857073,0.4,0.507066381156317,anti-conservative
mvtec,4,gaussian_noise,image_p_loio,2335,15,0.2732334047109207,0.0004997501249375312,0.4,0.6732334047109207,anti-conservative
mvtec,4,jpeg,image_p_loio,2335,15,0.21798715203426122,0.0009995002498750624,0.4,0.6179871520342612,anti-conservative
mvtec,8,blur,image_p_loio,2335,15,0.11934332619557458,0.02148925537231384,0.3333333333333333,0.4526766595289079,anti-conservative
mvtec,8,brightness_contrast,image_p_loio,2335,15,0.12576730906495365,0.01899050474762619,0.3333333333333333,0.45910064239828696,anti-conservative
mvtec,8,clean,image_p_loio,2335,15,0.11591720199857247,0.026486756621689155,0.3333333333333333,0.4492505353319058,anti-conservative
mvtec,8,gaussian_noise,image_p_loio,2335,15,0.29878658101356176,0.0004997501249375312,0.3333333333333333,0.6321199143468951,anti-conservative
mvtec,8,jpeg,image_p_loio,2335,15,0.23197715917202005,0.0004997501249375312,0.3333333333333333,0.5653104925053534,anti-conservative
