dataset,k_shot,corruption,pvalue_col,nominal_cdf,empirical_cdf,gap
mvtec,4,blur,image_p_loio,0.2,0.2646680942184154,0.0646680942184154
mvtec,4,blur,image_p_loio,0.4,0.5147751605995717,0.11477516059957171
mvtec,4,blur,image_p_loio,0.6,0.6839400428265524,0.08394004282655243
mvtec,4,blur,image_p_loio,0.8,0.8595289079229123,0.05952890792291221
mvtec,4,blur,image_p_loio,1.0,1.0,0.0
mvtec,4,brightness_contrast,image_p_loio,0.2,0.2616702355460385,0.06167023554603851
mvtec,4,brightness_contrast,image_p_loio,0.4,0.5117773019271948,0.11177730192719482
mvtec,4,brightness_contrast,image_p_loio,0.6,0.6907922912205567,0.09079229122055676
mvtec,4,brightness_contrast,image_p_loio,0.8,0.8629550321199143,0.06295503211991427
mvtec,4,brightness_contrast,image_p_loio,1.0,1.0,0.0
mvtec,4,clean,image_p_loio,0.2,0.25738758029978587,0.057387580299785856
mvtec,4,clean,image_p_loio,0.4,0.507066381156317,0.10706638115631695
mvtec,4,clean,image_p_loio,0.6,0.6835117773019272,0.08351177730192727
mvtec,4,clean,image_p_loio,0.8,0.8582441113490364,0.0582441113490364
mvtec,4,clean,image_p_loio,1.0,1.0,0.0
mvtec,4,gaussian_noise,image_p_loio,0.2,0.3854389721627409,0.1854389721627409
mvtec,4,gaussian_noise,image_p_loio,0.4,0.6732334047109207,0.2732334047109207
mvtec,4,gaussian_noise,image_p_loio,0.6,0.823982869379015,0.22398286937901501
mvtec,4,gaussian_noise,image_p_loio,0.8,0.94389721627409,0.1438972162740899
mvtec,4,gaussian_noise,image_p_loio,1.0,1.0,0.0
mvtec,4,jpeg,image_p_loio,0.2,0.37044967880085655,0.17044967880085654
mvtec,4,jpeg,image_p_loio,0.4,0.6179871520342612,0.21798715203426122
mvtec,4,jpeg,image_p_loio,0.6,0.7708779443254818,0.17087794432548187
mvtec,4,jpeg,image_p_loio,0.8,0.9044967880085653,0.10449678800856521
mvtec,4,jpeg,image_p_loio,1.0,1.0,0.0
mvtec,8,blur,image_p_loio,0.1111111111111111,0.16231263383297645,0.051201522721865345
mvtec,8,blur,image_p_loio,0.2222222222222222,0.328051391862955,0.1058291696407328
mvtec,8,blur,image_p_loio,0.3333333333333333,0.4526766595289079,0.11934332619557458
mvtec,8,blur,image_p_loio,0.4444444444444444,0.5494646680942185,0.10502022364977404
mvtec,8,blur,image_p_loio,0.5555555555555556,0.6552462526766595,0.0996906971211039
mvtec,8,blur,image_p_loio,0.6666666666666666,0.7477516059957173,0.0810849393290507
mvtec,8,blur,image_p_loio,0.7777777777777778,0.8449678800856532,0.06719010230787537
mvtec,8,blur,image_p_loio,0.8888888888888888,0.9361884368308351,0.04729954794194624
mvtec,8,blur,image_p_loio,1.0,1.0,0.0
mvtec,8,brightness_contrast,image_p_loio,0.1111111111111111,0.15717344753747323,0.04606233642636212
mvtec,8,brightness_contrast,image_p_loio,0.2222222222222222,0.33062098501070664,0.10839876278848443
mvtec,8,brightness_contrast,image_p_loio,0.3333333333333333,0.45910064239828696,0.12576730906495365
mvtec,8,brightness_contrast,image_p_loio,0.4444444444444444,0.5524625267665952,0.10801808232215082
mvtec,8,brightness_contrast,image_p_loio,0.5555555555555556,0.6586723768736616,0.10311682131810607
mvtec,8,brightness_contrast,image_p_loio,0.6666666666666666,0.7516059957173448,0.08493932905067814
mvtec,8,brightness_contrast,image_p_loio,0.7777777777777778,0.8462526766595289,0.06847489888175107
mvtec,8,brightness_contrast,image_p_loio,0.8888888888888888,0.9357601713062098,0.04687128241732097
mvtec,8,brightness_contrast,image_p_loio,1.0,1.0,0.0
mvtec,8,clean,image_p_loio,0.1111111111111111,0.1494646680942184,0.0383535569831073
mvtec,8,clean,image_p_loio,0.2222222222222222,0.3229122055674518,0.1006899833452296
mvtec,8,clean,image_p_loio,0.3333333333333333,0.4492505353319058,0.11591720199857247
mvtec,8,clean,image_p_loio,0.4444444444444444,0.5400428265524625,0.09559838210801808
mvtec,8,clean,image_p_loio,0.5555555555555556,0.6471092077087794,0.09155365215322386
mvtec,8,clean,image_p_loio,0.6666666666666666,0.7421841541755889,0.07551748750892229
mvtec,8,clean,image_p_loio,0.7777777777777778,0.8394004282655246,0.061622650487746844
mvtec,8,clean,image_p_loio,0.8888888888888888,0.9331905781584583,0.044301689269569455
mvtec,8,clean,image_p_loio,1.0,1.0,0.0
mvtec,8,gaussian_noise,image_p_loio,0.1111111111111111,0.29764453961456105,0.18653342850344995
mvtec,8,gaussian_noise,image_p_loio,0.2222222222222222,0.5027837259100643,0.28056150368784205
mvtec,8,gaussian_noise,image_p_loio,0.3333333333333333,0.6321199143468951,0.29878658101356176
mvtec,8,gaussian_noise,image_p_loio,0.4444444444444444,0.726338329764454,0.2818938853200096
mvtec,8,gaussian_noise,image_p_loio,0.5555555555555556,0.8291220556745182,0.27356650011896266
mvtec,8,gaussian_noise,image_p_loio,0.6666666666666666,0.8933618843683083,0.2266952177016417
mvtec,8,gaussian_noise,image_p_loio,0.7777777777777778,0.9546038543897216,0.17682607661194383
mvtec,8,gaussian_noise,image_p_loio,0.8888888888888888,0.987152034261242,0.09826314537235314
mvtec,8,gaussian_noise,image_p_loio,1.0,1.0,0.0
mvtec,8,jpeg,image_p_loio,0.1111111111111111,0.26295503211991433,0.15184392100880323
mvtec,8,jpeg,image_p_loio,0.2222222222222222,0.43254817987152033,0.21032595764929812
mvtec,8,jpeg,image_p_loio,0.3333333333333333,0.5653104925053534,0.23197715917202005
mvtec,8,jpeg,image_p_loio,0.4444444444444444,0.6573875802997858,0.21294313585534141
mvtec,8,jpeg,image_p_loio,0.5555555555555556,0.7511777301927195,0.19562217463716391
mvtec,8,jpeg,image_p_loio,0.6666666666666666,0.828693790149893,0.16202712348322634
mvtec,8,jpeg,image_p_loio,0.7777777777777778,0.8989293361884368,0.12115155841065905
mvtec,8,jpeg,image_p_loio,0.8888888888888888,0.9674518201284796,0.0785629312395908
mvtec,8,jpeg,image_p_loio,1.0,1.0,0.0
