dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
mpdd,bracket_black,1,0,patch_split_conformal,12.197783470153809,0.0,12.197783470153809,12.197783470153809,12.197783470153809,0.0,1
mpdd,bracket_black,1,1,patch_split_conformal,14.201692581176758,0.0,14.201692581176758,14.201692581176758,14.201692581176758,0.0,1
mpdd,bracket_black,1,2,patch_split_conformal,13.25322437286377,0.0,13.25322437286377,13.25322437286377,13.25322437286377,0.0,1
mpdd,bracket_black,1,3,patch_split_conformal,13.47709846496582,0.0,13.47709846496582,13.47709846496582,13.47709846496582,0.0,1
mpdd,bracket_black,1,4,patch_split_conformal,13.47709846496582,0.0,13.47709846496582,13.47709846496582,13.47709846496582,0.0,1
mpdd,bracket_black,2,0,loio_conformal,33.15011978149414,1.17791748046875,32.561161041259766,33.739078521728516,33.15011978149414,1.17791748046875,2
mpdd,bracket_black,2,1,loio_conformal,26.656265258789062,2.348073959350586,25.48222827911377,27.830302238464355,26.656265258789062,2.348073959350586,2
mpdd,bracket_black,2,2,loio_conformal,28.523951530456543,1.1731653213500977,27.937368869781494,29.110534191131592,28.523951530456543,1.1731653213500977,2
mpdd,bracket_black,2,3,loio_conformal,26.858534812927246,1.4077787399291992,26.154645442962646,27.562424182891846,26.858534812927246,1.4077787399291992,2
mpdd,bracket_black,2,4,loio_conformal,21.812756538391113,2.92971134185791,20.347900867462158,23.27761220932007,21.812756538391113,2.92971134185791,2
mpdd,bracket_black,4,0,loio_conformal,22.47185516357422,0.6263265609741211,21.791314601898193,23.026509761810303,22.345969200134277,0.8087989186208825,4
mpdd,bracket_black,4,1,loio_conformal,23.068449020385742,3.092726707458496,21.111233234405518,25.02298402786255,23.065768241882324,3.843915740529828,4
mpdd,bracket_black,4,2,loio_conformal,22.53541374206543,2.591806411743164,20.084107398986816,25.114465713500977,22.663159370422363,2.753062902540219,4
mpdd,bracket_black,4,3,loio_conformal,20.809234619140625,1.1798648834228516,19.935516357421875,21.62178611755371,20.74806785583496,1.4755298264681678,4
mpdd,bracket_black,4,4,loio_conformal,20.336791038513184,1.8723344802856445,18.68898582458496,24.727161407470703,23.07935619354248,6.245432253878058,4
mpdd,bracket_black,8,0,loio_conformal,20.330134391784668,0.4468860626220703,19.709925174713135,20.429654121398926,20.185447454452515,0.7499108084385774,8
mpdd,bracket_black,8,1,loio_conformal,19.2672061920166,1.2299633026123047,18.52824878692627,21.067712783813477,20.366782903671265,3.177011829208558,8
mpdd,bracket_black,8,2,loio_conformal,19.61456298828125,1.6422767639160156,17.668588638305664,20.94888925552368,19.46434998512268,1.9385282001541735,8
mpdd,bracket_black,8,3,loio_conformal,20.21898651123047,0.8204288482666016,19.477707386016846,21.028756141662598,20.217269897460938,1.3869042813377015,8
mpdd,bracket_black,8,4,loio_conformal,20.30200481414795,1.7684574127197266,18.945114135742188,22.796024799346924,21.253896474838257,2.851272988598927,8
mpdd,bracket_brown,1,0,patch_split_conformal,12.923751831054688,0.0,12.923751831054688,12.923751831054688,12.923751831054688,0.0,1
mpdd,bracket_brown,1,1,patch_split_conformal,13.623953819274902,0.0,13.623953819274902,13.623953819274902,13.623953819274902,0.0,1
mpdd,bracket_brown,1,2,patch_split_conformal,11.60136604309082,0.0,11.60136604309082,11.60136604309082,11.60136604309082,0.0,1
mpdd,bracket_brown,1,3,patch_split_conformal,11.960970878601074,0.0,11.960970878601074,11.960970878601074,11.960970878601074,0.0,1
mpdd,bracket_brown,1,4,patch_split_conformal,12.434239387512207,0.0,12.434239387512207,12.434239387512207,12.434239387512207,0.0,1
mpdd,bracket_brown,2,0,loio_conformal,26.40333652496338,1.9240846633911133,25.441294193267822,27.365378856658936,26.40333652496338,1.9240846633911133,2
mpdd,bracket_brown,2,1,loio_conformal,23.18181037902832,0.9276618957519531,22.717979431152344,23.645641326904297,23.18181037902832,0.9276618957519531,2
mpdd,bracket_brown,2,2,loio_conformal,26.922212600708008,0.8781013488769531,26.48316192626953,27.361263275146484,26.922212600708008,0.8781013488769531,2
mpdd,bracket_brown,2,3,loio_conformal,27.543625831604004,2.480391502380371,26.30343008041382,28.78382158279419,27.543625831604004,2.480391502380371,2
mpdd,bracket_brown,2,4,loio_conformal,18.474923133850098,0.48746204376220703,18.231192111968994,18.7186541557312,18.474923133850098,0.48746204376220703,2
mpdd,bracket_brown,4,0,loio_conformal,20.294082641601562,0.9342231750488281,19.257935523986816,20.82416534423828,19.788018226623535,2.0144560702398344,4
mpdd,bracket_brown,4,1,loio_conformal,17.683213233947754,1.1651344299316406,16.525875568389893,18.878730297088623,17.72139263153076,1.2051196461322449,4
mpdd,bracket_brown,4,2,loio_conformal,20.293563842773438,0.9356842041015625,19.643184185028076,20.897130012512207,20.246750354766846,1.2137070032698252,4
mpdd,bracket_brown,4,3,loio_conformal,19.398369789123535,1.3107900619506836,18.337209701538086,21.737114429473877,20.675954341888428,3.3895548111900737,4
mpdd,bracket_brown,4,4,loio_conformal,20.307363510131836,1.806962013244629,18.545875072479248,22.224350929260254,20.462862491607666,1.9839780203778117,4
mpdd,bracket_brown,8,0,loio_conformal,19.12565803527832,1.2683525085449219,17.741894245147705,20.221226692199707,19.30727458000183,2.1719526679095833,8
mpdd,bracket_brown,8,1,loio_conformal,17.46588134765625,0.7681980133056641,17.216285705566406,18.608310222625732,18.326112508773804,2.374014778154644,8
mpdd,bracket_brown,8,2,loio_conformal,18.53514003753662,1.2272214889526367,18.039363384246826,20.90591526031494,19.28854489326477,1.8195476063353582,8
mpdd,bracket_brown,8,3,loio_conformal,18.699294090270996,1.4284067153930664,17.744017601013184,20.84549379348755,19.770671367645264,2.907177702774339,8
mpdd,bracket_brown,8,4,loio_conformal,17.925289154052734,0.7670488357543945,17.207021236419678,18.523181438446045,18.236680269241333,1.605399888893764,8
mpdd,bracket_white,1,0,patch_split_conformal,12.60922908782959,0.0,12.60922908782959,12.60922908782959,12.60922908782959,0.0,1
mpdd,bracket_white,1,1,patch_split_conformal,11.47886848449707,0.0,11.47886848449707,11.47886848449707,11.47886848449707,0.0,1
mpdd,bracket_white,1,2,patch_split_conformal,11.9937744140625,0.0,11.9937744140625,11.9937744140625,11.9937744140625,0.0,1
mpdd,bracket_white,1,3,patch_split_conformal,14.580227851867676,0.0,14.580227851867676,14.580227851867676,14.580227851867676,0.0,1
mpdd,bracket_white,1,4,patch_split_conformal,13.535529136657715,0.0,13.535529136657715,13.535529136657715,13.535529136657715,0.0,1
mpdd,bracket_white,2,0,loio_conformal,35.457693099975586,0.07525825500488281,35.420063972473145,35.49532222747803,35.457693099975586,0.07525825500488281,2
mpdd,bracket_white,2,1,loio_conformal,21.98539924621582,2.3764381408691406,20.79718017578125,23.17361831665039,21.98539924621582,2.3764381408691406,2
mpdd,bracket_white,2,2,loio_conformal,28.25930404663086,1.1580333709716797,27.68028736114502,28.8383207321167,28.25930404663086,1.1580333709716797,2
mpdd,bracket_white,2,3,loio_conformal,23.510473251342773,0.29170989990234375,23.3646183013916,23.656328201293945,23.510473251342773,0.29170989990234375,2
mpdd,bracket_white,2,4,loio_conformal,21.74106216430664,2.435831069946289,20.523146629333496,22.958977699279785,21.74106216430664,2.435831069946289,2
mpdd,bracket_white,4,0,loio_conformal,24.155600547790527,1.901834487915039,22.28848886489868,25.75377130508423,23.886659622192383,2.356361899868425,4
