dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
visa,capsules,4,2,loio_conformal,2,13.18770694732666
visa,capsules,4,2,loio_conformal,3,14.211430549621582
visa,capsules,4,3,loio_conformal,0,20.567394256591797
visa,capsules,4,3,loio_conformal,1,14.520167350769043
visa,capsules,4,3,loio_conformal,2,18.86795425415039
visa,capsules,4,3,loio_conformal,3,11.666106224060059
visa,capsules,4,4,loio_conformal,0,15.485346794128418
visa,capsules,4,4,loio_conformal,1,16.36032485961914
visa,capsules,4,4,loio_conformal,2,12.533238410949707
visa,capsules,4,4,loio_conformal,3,21.001483917236328
visa,capsules,8,0,loio_conformal,0,15.14332103729248
visa,capsules,8,0,loio_conformal,1,12.743897438049316
visa,capsules,8,0,loio_conformal,2,12.487439155578613
visa,capsules,8,0,loio_conformal,3,19.60935401916504
visa,capsules,8,0,loio_conformal,4,12.73282527923584
visa,capsules,8,0,loio_conformal,5,14.072529792785645
visa,capsules,8,0,loio_conformal,6,12.045076370239258
visa,capsules,8,0,loio_conformal,7,12.162192344665527
visa,capsules,8,1,loio_conformal,0,16.681262969970703
visa,capsules,8,1,loio_conformal,1,12.181114196777344
visa,capsules,8,1,loio_conformal,2,15.393156051635742
visa,capsules,8,1,loio_conformal,3,15.61036491394043
visa,capsules,8,1,loio_conformal,4,13.791056632995605
visa,capsules,8,1,loio_conformal,5,12.339091300964355
visa,capsules,8,1,loio_conformal,6,14.531692504882812
visa,capsules,8,1,loio_conformal,7,16.74715232849121
visa,capsules,8,2,loio_conformal,0,12.806808471679688
visa,capsules,8,2,loio_conformal,1,16.745864868164062
visa,capsules,8,2,loio_conformal,2,25.549259185791016
visa,capsules,8,2,loio_conformal,3,14.096609115600586
visa,capsules,8,2,loio_conformal,4,15.311890602111816
visa,capsules,8,2,loio_conformal,5,12.54119873046875
visa,capsules,8,2,loio_conformal,6,13.32287311553955
visa,capsules,8,2,loio_conformal,7,13.712265014648438
visa,capsules,8,3,loio_conformal,0,12.672037124633789
visa,capsules,8,3,loio_conformal,1,19.893156051635742
visa,capsules,8,3,loio_conformal,2,13.369354248046875
visa,capsules,8,3,loio_conformal,3,14.515947341918945
visa,capsules,8,3,loio_conformal,4,18.585851669311523
visa,capsules,8,3,loio_conformal,5,13.56592082977295
visa,capsules,8,3,loio_conformal,6,11.360559463500977
visa,capsules,8,3,loio_conformal,7,14.984803199768066
visa,capsules,8,4,loio_conformal,0,15.240191459655762
visa,capsules,8,4,loio_conformal,1,16.12603759765625
visa,capsules,8,4,loio_conformal,2,13.720892906188965
visa,capsules,8,4,loio_conformal,3,13.218778610229492
visa,capsules,8,4,loio_conformal,4,12.417291641235352
visa,capsules,8,4,loio_conformal,5,14.393181800842285
visa,capsules,8,4,loio_conformal,6,15.474276542663574
visa,capsules,8,4,loio_conformal,7,13.75189208984375
visa,cashew,1,0,patch_split_conformal,0,10.558572769165039
visa,cashew,1,1,patch_split_conformal,0,12.753143310546875
visa,cashew,1,2,patch_split_conformal,0,11.446380615234375
visa,cashew,1,3,patch_split_conformal,0,13.051393508911133
visa,cashew,1,4,patch_split_conformal,0,11.499361991882324
visa,cashew,2,0,loio_conformal,0,19.005823135375977
visa,cashew,2,0,loio_conformal,1,17.271839141845703
visa,cashew,2,1,loio_conformal,0,17.95017433166504
visa,cashew,2,1,loio_conformal,1,20.391427993774414
visa,cashew,2,2,loio_conformal,0,22.15980339050293
visa,cashew,2,2,loio_conformal,1,21.447223663330078
visa,cashew,2,3,loio_conformal,0,18.426015853881836
visa,cashew,2,3,loio_conformal,1,19.34878158569336
visa,cashew,2,4,loio_conformal,0,18.812397003173828
visa,cashew,2,4,loio_conformal,1,16.101398468017578
visa,cashew,4,0,loio_conformal,0,17.05039405822754
visa,cashew,4,0,loio_conformal,1,15.382692337036133
visa,cashew,4,0,loio_conformal,2,16.45158576965332
visa,cashew,4,0,loio_conformal,3,15.904481887817383
visa,cashew,4,1,loio_conformal,0,18.226057052612305
visa,cashew,4,1,loio_conformal,1,16.333131790161133
visa,cashew,4,1,loio_conformal,2,17.0239200592041
visa,cashew,4,1,loio_conformal,3,17.333770751953125
visa,cashew,4,2,loio_conformal,0,18.73842430114746
visa,cashew,4,2,loio_conformal,1,14.934889793395996
visa,cashew,4,2,loio_conformal,2,17.1762638092041
visa,cashew,4,2,loio_conformal,3,15.157319068908691
visa,cashew,4,3,loio_conformal,0,17.210433959960938
visa,cashew,4,3,loio_conformal,1,17.543001174926758
visa,cashew,4,3,loio_conformal,2,17.08780288696289
visa,cashew,4,3,loio_conformal,3,16.36142921447754
visa,cashew,4,4,loio_conformal,0,16.42347526550293
visa,cashew,4,4,loio_conformal,1,15.766298294067383
visa,cashew,4,4,loio_conformal,2,16.414182662963867
visa,cashew,4,4,loio_conformal,3,15.237956047058105
visa,cashew,8,0,loio_conformal,0,15.65403938293457
visa,cashew,8,0,loio_conformal,1,15.971580505371094
visa,cashew,8,0,loio_conformal,2,16.194499969482422
visa,cashew,8,0,loio_conformal,3,16.835098266601562
visa,cashew,8,0,loio_conformal,4,14.91728687286377
visa,cashew,8,0,loio_conformal,5,16.204357147216797
visa,cashew,8,0,loio_conformal,6,15.038650512695312
visa,cashew,8,0,loio_conformal,7,14.355016708374023
visa,cashew,8,1,loio_conformal,0,16.913480758666992
visa,cashew,8,1,loio_conformal,1,17.73222541809082
