dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
visa,candle,1,0,patch_split_conformal,13.539084434509277,0.0,13.539084434509277,13.539084434509277,13.539084434509277,0.0,1
visa,candle,1,1,patch_split_conformal,10.872343063354492,0.0,10.872343063354492,10.872343063354492,10.872343063354492,0.0,1
visa,candle,1,2,patch_split_conformal,12.184097290039062,0.0,12.184097290039062,12.184097290039062,12.184097290039062,0.0,1
visa,candle,1,3,patch_split_conformal,13.098502159118652,0.0,13.098502159118652,13.098502159118652,13.098502159118652,0.0,1
visa,candle,1,4,patch_split_conformal,12.2859525680542,0.0,12.2859525680542,12.2859525680542,12.2859525680542,0.0,1
visa,candle,2,0,loio_conformal,17.538865089416504,0.8003110885620117,17.138709545135498,17.93902063369751,17.538865089416504,0.8003110885620117,2
visa,candle,2,1,loio_conformal,18.66324234008789,0.014020919799804688,18.65623188018799,18.670252799987793,18.66324234008789,0.014020919799804688,2
visa,candle,2,2,loio_conformal,19.04401397705078,3.526216506958008,17.280905723571777,20.807122230529785,19.04401397705078,3.526216506958008,2
visa,candle,2,3,loio_conformal,19.514609336853027,0.784602165222168,19.122308254241943,19.90691041946411,19.514609336853027,0.784602165222168,2
visa,candle,2,4,loio_conformal,20.361608505249023,0.7493820190429688,19.98691749572754,20.736299514770508,20.361608505249023,0.7493820190429688,2
visa,candle,4,0,loio_conformal,14.78223466873169,0.4226975440979004,14.568807125091553,16.062379360198975,15.848951816558838,2.3584381263628473,4
visa,candle,4,1,loio_conformal,16.006532669067383,0.7879247665405273,15.258604288101196,16.516395092010498,15.768466711044312,1.3191175642116202,4
visa,candle,4,2,loio_conformal,16.007697105407715,0.4914212226867676,15.683819055557251,17.24476718902588,16.920889139175415,2.0892718835332404,4
visa,candle,4,3,loio_conformal,15.190650463104248,0.9717869758605957,14.281944274902344,16.49964189529419,15.590935707092285,1.5231404093489578,4
visa,candle,4,4,loio_conformal,17.227449417114258,0.6554546356201172,15.950900793075562,17.878531455993652,16.601982831954956,1.5601897971594787,4
visa,candle,8,0,loio_conformal,14.548499584197998,0.5411462783813477,14.271343469619751,15.664306879043579,15.278520107269287,2.0556376112562966,8
visa,candle,8,1,loio_conformal,15.919878482818604,0.9575514793395996,14.68717885017395,16.430030822753906,15.503010511398315,1.3041515193354287,8
visa,candle,8,2,loio_conformal,14.715277671813965,1.5736727714538574,13.480586290359497,16.595558166503906,15.312387943267822,2.3327350723888913,8
visa,candle,8,3,loio_conformal,15.35901689529419,0.7288956642150879,14.737450361251831,15.731710195541382,15.286806225776672,1.055315841138462,8
visa,candle,8,4,loio_conformal,15.088646411895752,1.4573121070861816,13.701657772064209,16.38843870162964,15.101223587989807,1.6563635612711682,8
visa,capsules,1,0,patch_split_conformal,13.427873611450195,0.0,13.427873611450195,13.427873611450195,13.427873611450195,0.0,1
visa,capsules,1,1,patch_split_conformal,12.807280540466309,0.0,12.807280540466309,12.807280540466309,12.807280540466309,0.0,1
visa,capsules,1,2,patch_split_conformal,12.235518455505371,0.0,12.235518455505371,12.235518455505371,12.235518455505371,0.0,1
visa,capsules,1,3,patch_split_conformal,10.667563438415527,0.0,10.667563438415527,10.667563438415527,10.667563438415527,0.0,1
visa,capsules,1,4,patch_split_conformal,10.481513977050781,0.0,10.481513977050781,10.481513977050781,10.481513977050781,0.0,1
visa,capsules,2,0,loio_conformal,15.093226432800293,1.0911455154418945,14.547653675079346,15.63879919052124,15.093226432800293,1.0911455154418945,2
visa,capsules,2,1,loio_conformal,17.890045166015625,2.8131465911865234,16.483471870422363,19.296618461608887,17.890045166015625,2.8131465911865234,2
visa,capsules,2,2,loio_conformal,16.116440773010254,1.455674171447754,15.388603687286377,16.84427785873413,16.116440773010254,1.455674171447754,2
visa,capsules,2,3,loio_conformal,17.77224111557007,2.690094470977783,16.427193880081177,19.11728835105896,17.77224111557007,2.690094470977783,2
visa,capsules,2,4,loio_conformal,22.82662582397461,0.936126708984375,22.358562469482422,23.294689178466797,22.82662582397461,0.936126708984375,2
visa,capsules,4,0,loio_conformal,13.05625295639038,0.9286618232727051,12.193398475646973,14.449149131774902,13.586294651031494,1.6871719876851605,4
visa,capsules,4,1,loio_conformal,15.96526050567627,2.486103057861328,13.316241979598999,18.436307430267334,15.787288904190063,2.678108768822919,4
