dataset,class,k_shot,seed,corruption,source_mode,source_dataset,method,alpha,selected_p_threshold,source_validation_far,source_validation_count,false_alarm_rate,power,alarm_precision,coverage_gap,auroc,ap
visa,candle,1,0,blur,matched_condition,mvtec,source_validated_pool,0.05,0.046875,0.04925053533190578,467,0.0,0.016666666666666666,1.0,-0.05,0.8455555555555556,0.8222088215635306
visa,candle,1,0,blur,matched_condition,mvtec,source_validated_pool,0.1,0.08899297423887588,0.09850107066381156,467,0.0,0.05,1.0,-0.1,0.8455555555555556,0.8222088215635306
visa,candle,1,0,blur,matched_condition,mvtec,source_validated_pool,0.2,0.18691588785046728,0.19914346895074947,467,0.016666666666666666,0.11666666666666667,0.875,-0.18333333333333335,0.8455555555555556,0.8222088215635306
visa,candle,1,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.0467706013363029,0.04925053533190578,467,0.0,0.016666666666666666,1.0,-0.05,0.8026388888888889,0.7930557872126529
visa,candle,1,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.08878504672897196,0.09850107066381156,467,0.0,0.05,1.0,-0.1,0.8026388888888889,0.7930557872126529
visa,candle,1,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.18501170960187355,0.19700214132762311,467,0.016666666666666666,0.08333333333333333,0.8333333333333334,-0.18333333333333335,0.8026388888888889,0.7930557872126529
visa,candle,1,0,clean,matched_condition,mvtec,source_validated_pool,0.05,0.0467706013363029,0.04925053533190578,467,0.0,0.016666666666666666,1.0,-0.05,0.8541666666666666,0.8354118728063386
visa,candle,1,0,clean,matched_condition,mvtec,source_validated_pool,0.1,0.08771929824561403,0.09850107066381156,467,0.016666666666666666,0.05,0.75,-0.08333333333333334,0.8541666666666666,0.8354118728063386
visa,candle,1,0,clean,matched_condition,mvtec,source_validated_pool,0.2,0.18501170960187355,0.19914346895074947,467,0.016666666666666666,0.11666666666666667,0.875,-0.18333333333333335,0.8541666666666666,0.8354118728063386
visa,candle,1,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,467,0.0,0.0,,-0.05,0.9079166666666666,0.9061212517124074
visa,candle,1,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.08482142857142858,0.09635974304068523,467,0.0,0.0,,-0.1,0.9079166666666666,0.9061212517124074
visa,candle,1,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.20588235294117646,0.19914346895074947,467,0.0,0.05,1.0,-0.2,0.9079166666666666,0.9061212517124074
visa,candle,1,0,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.029017857142857144,0.044967880085653104,467,0.0,0.016666666666666666,1.0,-0.05,0.8819444444444444,0.8634385139102808
visa,candle,1,0,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.09662921348314607,0.09635974304068523,467,0.0,0.03333333333333333,1.0,-0.1,0.8819444444444444,0.8634385139102808
visa,candle,1,0,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.18872549019607843,0.19700214132762311,467,0.016666666666666666,0.08333333333333333,0.8333333333333334,-0.18333333333333335,0.8819444444444444,0.8634385139102808
visa,candle,1,1,blur,matched_condition,mvtec,source_validated_pool,0.05,0.04672897196261682,0.04925053533190578,467,0.0,0.05,1.0,-0.05,0.8356944444444444,0.8228392307600784
visa,candle,1,1,blur,matched_condition,mvtec,source_validated_pool,0.1,0.08685968819599109,0.09850107066381156,467,0.016666666666666666,0.11666666666666667,0.875,-0.08333333333333334,0.8356944444444444,0.8228392307600784
visa,candle,1,1,blur,matched_condition,mvtec,source_validated_pool,0.2,0.19101123595505617,0.19914346895074947,467,0.016666666666666666,0.2,0.9230769230769231,-0.18333333333333335,0.8356944444444444,0.8228392307600784
visa,candle,1,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.04449648711943794,0.047109207708779445,467,0.0,0.03333333333333333,1.0,-0.05,0.781111111111111,0.7735755098493552
visa,candle,1,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.0911214953271028,0.09850107066381156,467,0.016666666666666666,0.11666666666666667,0.875,-0.08333333333333334,0.781111111111111,0.7735755098493552
visa,candle,1,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.1920374707259953,0.19700214132762311,467,0.016666666666666666,0.2,0.9230769230769231,-0.18333333333333335,0.781111111111111,0.7735755098493552
visa,candle,1,1,clean,matched_condition,mvtec,source_validated_pool,0.05,0.04697986577181208,0.047109207708779445,467,0.016666666666666666,0.06666666666666667,0.8,-0.03333333333333334,0.8404166666666666,0.810360445332949
visa,candle,1,1,clean,matched_condition,mvtec,source_validated_pool,0.1,0.08430913348946135,0.09850107066381156,467,0.016666666666666666,0.13333333333333333,0.8888888888888888,-0.08333333333333334,0.8404166666666666,0.810360445332949
visa,candle,1,1,clean,matched_condition,mvtec,source_validated_pool,0.2,0.19158878504672897,0.19914346895074947,467,0.016666666666666666,0.2,0.9230769230769231,-0.18333333333333335,0.8404166666666666,0.810360445332949
visa,candle,1,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,467,0.0,0.0,,-0.05,0.8444444444444444,0.8452030616263334
visa,candle,1,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.0936768149882904,0.09850107066381156,467,0.0,0.0,,-0.1,0.8444444444444444,0.8452030616263334
visa,candle,1,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.18807339449541285,0.19914346895074947,467,0.0,0.08333333333333333,1.0,-0.2,0.8444444444444444,0.8452030616263334
visa,candle,1,1,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.04215456674473068,0.04925053533190578,467,0.0,0.016666666666666666,1.0,-0.05,0.8522222222222222,0.8413236582097519
visa,candle,1,1,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.0957683741648107,0.09850107066381156,467,0.0,0.08333333333333333,1.0,-0.1,0.8522222222222222,0.8413236582097519
visa,candle,1,1,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.1939252336448598,0.19914346895074947,467,0.016666666666666666,0.16666666666666666,0.9090909090909091,-0.18333333333333335,0.8522222222222222,0.8413236582097519
visa,candle,1,2,blur,matched_condition,mvtec,source_validated_pool,0.05,0.040268456375838924,0.04925053533190578,467,0.0,0.05,1.0,-0.05,0.8948611111111111,0.8976252836771081
visa,candle,1,2,blur,matched_condition,mvtec,source_validated_pool,0.1,0.09438202247191012,0.09850107066381156,467,0.0,0.13333333333333333,1.0,-0.1,0.8948611111111111,0.8976252836771081
visa,candle,1,2,blur,matched_condition,mvtec,source_validated_pool,0.2,0.18485523385300667,0.19914346895074947,467,0.0,0.31666666666666665,1.0,-0.2,0.8948611111111111,0.8976252836771081
visa,candle,1,2,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.04449648711943794,0.047109207708779445,467,0.0,0.05,1.0,-0.05,0.8372222222222222,0.8435114908330306
visa,candle,1,2,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.09403669724770643,0.09850107066381156,467,0.0,0.15,1.0,-0.1,0.8372222222222222,0.8435114908330306
visa,candle,1,2,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.19239373601789708,0.19700214132762311,467,0.016666666666666666,0.26666666666666666,0.9411764705882353,-0.18333333333333335,0.8372222222222222,0.8435114908330306
visa,candle,1,2,clean,matched_condition,mvtec,source_validated_pool,0.05,0.0447427293064877,0.04925053533190578,467,0.0,0.05,1.0,-0.05,0.8959722222222223,0.8995262150074365
visa,candle,1,2,clean,matched_condition,mvtec,source_validated_pool,0.1,0.09213483146067415,0.09850107066381156,467,0.0,0.13333333333333333,1.0,-0.1,0.8959722222222223,0.8995262150074365
