dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
mvtec,cable,4,0,loio_conformal,2,21.071916580200195
mvtec,cable,4,0,loio_conformal,3,17.775911331176758
mvtec,cable,4,1,loio_conformal,0,20.627197265625
mvtec,cable,4,1,loio_conformal,1,22.122026443481445
mvtec,cable,4,1,loio_conformal,2,23.90606689453125
mvtec,cable,4,1,loio_conformal,3,19.315670013427734
mvtec,cable,4,2,loio_conformal,0,21.076900482177734
mvtec,cable,4,2,loio_conformal,1,20.95949935913086
mvtec,cable,4,2,loio_conformal,2,20.524747848510742
mvtec,cable,4,2,loio_conformal,3,20.68939781188965
mvtec,cable,4,3,loio_conformal,0,17.565637588500977
mvtec,cable,4,3,loio_conformal,1,18.142250061035156
mvtec,cable,4,3,loio_conformal,2,18.722976684570312
mvtec,cable,4,3,loio_conformal,3,20.26495933532715
mvtec,cable,4,4,loio_conformal,0,21.24949073791504
mvtec,cable,4,4,loio_conformal,1,23.264745712280273
mvtec,cable,4,4,loio_conformal,2,18.64422607421875
mvtec,cable,4,4,loio_conformal,3,21.859050750732422
mvtec,cable,8,0,loio_conformal,0,18.2867374420166
mvtec,cable,8,0,loio_conformal,1,19.487089157104492
mvtec,cable,8,0,loio_conformal,2,23.029123306274414
mvtec,cable,8,0,loio_conformal,3,18.848989486694336
mvtec,cable,8,0,loio_conformal,4,22.078258514404297
mvtec,cable,8,0,loio_conformal,5,20.44894790649414
mvtec,cable,8,0,loio_conformal,6,17.587329864501953
mvtec,cable,8,0,loio_conformal,7,17.875139236450195
mvtec,cable,8,1,loio_conformal,0,17.144254684448242
mvtec,cable,8,1,loio_conformal,1,21.51144790649414
mvtec,cable,8,1,loio_conformal,2,19.56077003479004
mvtec,cable,8,1,loio_conformal,3,19.783733367919922
mvtec,cable,8,1,loio_conformal,4,19.263174057006836
mvtec,cable,8,1,loio_conformal,5,19.55266761779785
mvtec,cable,8,1,loio_conformal,6,22.191526412963867
mvtec,cable,8,1,loio_conformal,7,18.820842742919922
mvtec,cable,8,2,loio_conformal,0,18.54593849182129
mvtec,cable,8,2,loio_conformal,1,17.62973976135254
mvtec,cable,8,2,loio_conformal,2,18.845870971679688
mvtec,cable,8,2,loio_conformal,3,18.1500186920166
mvtec,cable,8,2,loio_conformal,4,19.497644424438477
mvtec,cable,8,2,loio_conformal,5,20.67251205444336
mvtec,cable,8,2,loio_conformal,6,17.244279861450195
mvtec,cable,8,2,loio_conformal,7,19.107845306396484
mvtec,cable,8,3,loio_conformal,0,18.631563186645508
mvtec,cable,8,3,loio_conformal,1,18.716564178466797
mvtec,cable,8,3,loio_conformal,2,17.333974838256836
mvtec,cable,8,3,loio_conformal,3,18.031396865844727
mvtec,cable,8,3,loio_conformal,4,17.632587432861328
mvtec,cable,8,3,loio_conformal,5,18.760852813720703
mvtec,cable,8,3,loio_conformal,6,18.520248413085938
mvtec,cable,8,3,loio_conformal,7,23.75944709777832
mvtec,cable,8,4,loio_conformal,0,21.440813064575195
mvtec,cable,8,4,loio_conformal,1,21.492488861083984
mvtec,cable,8,4,loio_conformal,2,22.42010498046875
mvtec,cable,8,4,loio_conformal,3,18.25243377685547
mvtec,cable,8,4,loio_conformal,4,18.65830421447754
mvtec,cable,8,4,loio_conformal,5,19.08261489868164
mvtec,cable,8,4,loio_conformal,6,17.54252815246582
mvtec,cable,8,4,loio_conformal,7,22.218122482299805
mvtec,capsule,1,0,patch_split_conformal,0,11.086793899536133
mvtec,capsule,1,1,patch_split_conformal,0,11.170530319213867
mvtec,capsule,1,2,patch_split_conformal,0,14.098329544067383
mvtec,capsule,1,3,patch_split_conformal,0,11.928834915161133
mvtec,capsule,1,4,patch_split_conformal,0,13.547638893127441
mvtec,capsule,2,0,loio_conformal,0,26.674001693725586
mvtec,capsule,2,0,loio_conformal,1,17.73219108581543
mvtec,capsule,2,1,loio_conformal,0,30.141307830810547
mvtec,capsule,2,1,loio_conformal,1,21.923032760620117
mvtec,capsule,2,2,loio_conformal,0,18.216360092163086
mvtec,capsule,2,2,loio_conformal,1,16.411231994628906
mvtec,capsule,2,3,loio_conformal,0,30.305065155029297
mvtec,capsule,2,3,loio_conformal,1,19.517353057861328
mvtec,capsule,2,4,loio_conformal,0,23.71883201599121
mvtec,capsule,2,4,loio_conformal,1,21.83516502380371
mvtec,capsule,4,0,loio_conformal,0,26.21019172668457
mvtec,capsule,4,0,loio_conformal,1,14.609810829162598
mvtec,capsule,4,0,loio_conformal,2,13.683924674987793
mvtec,capsule,4,0,loio_conformal,3,14.57148265838623
mvtec,capsule,4,1,loio_conformal,0,17.28656768798828
mvtec,capsule,4,1,loio_conformal,1,18.579631805419922
mvtec,capsule,4,1,loio_conformal,2,14.407716751098633
mvtec,capsule,4,1,loio_conformal,3,19.212345123291016
mvtec,capsule,4,2,loio_conformal,0,14.666555404663086
mvtec,capsule,4,2,loio_conformal,1,14.15099048614502
mvtec,capsule,4,2,loio_conformal,2,15.733819007873535
mvtec,capsule,4,2,loio_conformal,3,16.31983184814453
mvtec,capsule,4,3,loio_conformal,0,30.011962890625
mvtec,capsule,4,3,loio_conformal,1,16.142690658569336
mvtec,capsule,4,3,loio_conformal,2,15.681231498718262
mvtec,capsule,4,3,loio_conformal,3,14.112052917480469
mvtec,capsule,4,4,loio_conformal,0,15.723734855651855
mvtec,capsule,4,4,loio_conformal,1,18.522451400756836
mvtec,capsule,4,4,loio_conformal,2,17.264863967895508
mvtec,capsule,4,4,loio_conformal,3,19.379222869873047
mvtec,capsule,8,0,loio_conformal,0,16.475313186645508
mvtec,capsule,8,0,loio_conformal,1,21.6580753326416
mvtec,capsule,8,0,loio_conformal,2,13.593741416931152
mvtec,capsule,8,0,loio_conformal,3,13.444997787475586
mvtec,capsule,8,0,loio_conformal,4,13.683375358581543
mvtec,capsule,8,0,loio_conformal,5,14.269266128540039
mvtec,capsule,8,0,loio_conformal,6,15.965516090393066
mvtec,capsule,8,0,loio_conformal,7,18.29482078552246
mvtec,capsule,8,1,loio_conformal,0,14.72875690460205
mvtec,capsule,8,1,loio_conformal,1,16.57929039001465
mvtec,capsule,8,1,loio_conformal,2,19.64544105529785
